"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22","WV03"
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-01",,,,"0.21","0.0","7.0",,"41","35",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-02",,,,"1.16","4.0","0.0",,"42","32",,,,,,"    1","    1",,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-03",,,,"0.14","1.0","4.0",,"36","24",,,,,,"    1",,,,,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-04",,,,"0.00","0.0","3.0",,"38","24",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-05",,,,"0.19","0.0","2.0",,"45","25",,,,,,"    1",,,"    1",,"    1",,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-06",,,,"0.35","5.0","0.0",,"42","24",,,,,,"    1",,,,,"    1",,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-07",,,,"0.04","0.4","4.0",,"37","21",,,,,,"    1",,,,,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-08",,,,"0.06","0.0","2.0",,"40","36",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-09",,,,"0.00","0.0","0.0",,"42","29",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-10",,,,"0.00","0.0","0.0",,"40","25",,,,,,"    1",,,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-11",,,,"0.00","0.0","0.0",,"36","21",,,,,,"    1",,,,,,,"    1",,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-12",,,,"0.00","0.0","0.0",,"39","32",,,,,,"    1",,,,,,,"    1",,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-13",,,,"0.41","0.0","0.0",,"38","33",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-14",,,,"0.03","0.0","0.0",,"43","33",,,,,,"    1","    1",,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-15",,,,"0.00","0.0","0.0",,"38","30",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-16",,,,"0.00","0.0","0.0",,"40","29",,,,,,"    1","    1",,,,,,,,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-17",,,,"0.02","0.0","0.0",,"37","29",,,,,,"    1","    1",,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-18",,,,"0.00","0.0","0.0",,"40","27",,,,,,"    1","    1",,,,,,"    1",,,,,,,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-19",,,,"0.00","0.0","0.0",,"46","32",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-20",,,,"0.42","0.0","0.0",,"47","38",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-21",,,,"0.11","0.0","0.0",,"47","36",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-22",,,,"0.19","0.0","0.0",,"43","32",,,,,,,,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-23",,,,"0.57","2.6","0.0",,"37","33",,,,,,"    1",,,,,,,,,,,,"    1",,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-24",,,,"0.68","5.1","2.0",,"40","32",,,,,,"    1",,,"    1",,,,,,,,,,,"    1",,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-25",,,,"0.08","0.0","2.0",,"40","29",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-26",,,,"0.50","0.0","0.0",,"48","37",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-27",,,,"0.40","0.0","0.0",,"48","42",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-28",,,,"1.36","0.0","0.0",,"48","40",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-29",,,,"0.29","0.0","0.0",,"47","41",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-30",,,,"0.50","0.0","0.0",,"51","40",,,,,,"    1",,,,,,,,,,,,"    1",,,,,
"USW00024217","BELLINGHAM INTERNATIONAL AIRPORT, WA US","1965-01-31",,,,"0.00","0.0","0.0",,"46","31",,,,,,,,,,,,,,,,,,,,,,,
